,city_name,temperature,humidity,wind_speed,cloudiness,latitude,longtitude
259,Mariehamn,275.15,80,4.1,90,60.0973,19.9348
260,Roven’ky,282.91,65,3.24,100,48.0833,39.3776
261,Palekastro,295.93,73,1.79,100,35.2,26.25
262,Geesthacht,280.45,64,2.66,99,53.4333,10.3667
263,Bay-Khaak,275.12,80,4.24,100,51.1667,94.5
264,Uspenka,283.14,65,2.23,99,48.3903,39.1619
265,Brekstad,276.93,80,7.2,75,63.687,9.6654
266,Abatskoye,274.2,87,5.11,70,56.2875,70.4555
267,Yaan,296.56,89,2.21,34,7.3833,8.5667
268,Faya,287.62,24,3.98,0,18.3851,42.4509
269,Dongli,294.15,77,3.0,13,23.5656,116.8194
270,Békéscsaba,277.59,99,1.9,5,46.6833,21.1
271,Gra Liyiá,295.93,73,1.79,97,35.0167,25.6833
272,Mizdah,287.96,64,5.61,9,31.4451,12.9801
273,Lishui,288.76,88,1.08,99,28.4604,119.9103
274,Dzisna,275.42,88,5.52,0,55.568,28.1971
275,Aginskoye,274.37,85,1.23,41,51.1,114.53
276,Carbonia,285.1,87,1.0,5,39.1672,8.5222
277,Muzhi,267.56,92,2.14,9,65.3667,64.6667
278,Herāt,279.31,60,3.38,0,34.5,62.0
279,Yurty,272.29,92,4.52,79,56.0498,97.6348
280,Bratsk,273.15,94,9.0,20,56.1325,101.6142
281,Hollola,270.93,99,3.38,52,61.05,25.4333
282,Şile,290.37,72,3.58,99,41.1754,29.6133
283,Jahāngīrpur,296.13,23,0.92,17,28.1833,77.7167
284,Tashla,283.79,45,4.82,97,51.7716,52.7427
285,Basoko,295.45,91,0.2,95,1.2391,23.616
286,Sochi,292.09,68,6.0,100,43.6,39.7303
287,Lipin Bor,274.3,89,3.91,100,60.2622,37.9763
288,Vung Tau,298.61,86,1.16,100,10.346,107.0843
289,Tazmalt,287.15,87,2.1,29,36.3868,4.3989
290,Eyl,299.49,77,3.94,6,7.9803,49.8164
291,Neryungri,258.87,89,1.34,0,56.6709,124.6491
292,Orlik,272.04,86,1.31,100,52.5178,99.825
293,Semey,269.15,92,2.39,0,50.4111,80.2275
294,Belyy Yar,274.15,50,4.0,88,53.6039,91.3903
295,Kamaishi,284.15,93,1.0,75,39.2667,141.8833
296,Amga,260.33,95,1.7,87,60.8953,131.9608
297,Siliştea,280.08,93,0.5,13,44.3833,25.35
298,Kozhva,271.39,98,1.64,100,65.1073,57.0459
299,Dukat,266.75,91,1.78,87,62.55,155.55
300,Turaif,290.15,33,3.1,0,31.6725,38.6637
301,Almaznyy,288.15,58,3.0,20,48.0448,40.045
302,Agirish,271.9,95,3.39,100,61.9247,63.0231
303,Koppal,295.71,89,4.68,96,15.35,76.15
304,Genhe,270.66,97,0.94,0,50.7833,121.5167
305,Patti,291.57,88,0.68,0,31.2808,74.8572
306,Belaya Kholunitsa,279.96,93,5.03,97,58.84,50.8528
307,Palanga,281.15,65,3.6,46,55.9175,21.0686
308,Am Timan,297.03,51,1.8,33,11.0297,20.2827
309,Toktogul,285.24,40,0.37,0,41.8708,72.9402
310,Povenets,274.34,92,3.39,100,62.8487,34.8262
311,Fügen,277.73,87,0.5,75,47.35,11.85
312,Yalutorovsk,275.88,76,6.58,95,56.6536,66.3006
313,Olovyannaya,274.28,88,2.02,19,50.95,115.5667
314,Beian,276.94,80,7.2,75,63.6559,9.5683
315,Matara,298.63,87,4.65,93,5.9485,80.5353
316,Kargasok,271.25,94,5.75,90,59.0556,80.8572
317,Karacaköy,289.5,59,9.3,75,41.4029,28.3834
318,Beyneu,285.23,38,5.92,0,45.3167,55.2
319,Furukawa,283.67,81,1.0,75,38.5717,140.9556
